Step,Loss,Epoch
1,1.8891,1
2,1.9053,1
3,1.8574,1
4,1.9114,1
5,1.8351,1
6,1.8981,2
7,1.9048,2
8,1.8649,2
9,1.877,2
10,1.8449,2
11,1.8986,3
12,1.8799,3
13,1.8378,3
14,1.9004,3
15,1.8675,3
16,1.8812,4
17,1.8635,4
18,1.8977,4
19,1.8393,4
20,1.9017,4
21,1.8482,5
22,1.8353,5
23,1.8514,5
24,1.9189,5
25,1.8596,5
26,1.8672,6
27,1.8421,6
28,1.848,6
29,1.8762,6
30,1.8964,6
31,1.8663,7
32,1.8491,7
33,1.8637,7
34,1.8403,7
35,1.8842,7
36,1.827,8
37,1.8486,8
38,1.8671,8
39,1.8921,8
40,1.7564,8
