Step,Loss,Epoch
1,2.3492,1
2,2.3786,1
3,2.314,1
4,2.3676,1
5,2.2953,1
6,2.3573,2
7,2.3483,2
8,2.3144,2
9,2.321,2
10,2.301,2
11,2.326,3
12,2.2982,3
13,2.2573,3
14,2.2941,3
15,2.2627,3
16,2.2579,4
17,2.2519,4
18,2.2641,4
19,2.2128,4
20,2.2421,4
21,2.1929,5
22,2.1757,5
23,2.1914,5
24,2.2761,5
25,2.2079,5
26,2.1893,6
27,2.1754,6
28,2.174,6
29,2.2038,6
30,2.2008,6
31,2.1921,7
32,2.1533,7
33,2.1783,7
34,2.1534,7
35,2.2158,7
36,2.1322,8
37,2.1752,8
38,2.18,8
39,2.1953,8
40,2.0122,8
