Step,Loss,Epoch
1,1.858,1
2,1.8676,1
3,1.8243,1
4,1.8815,1
5,1.7409,1
6,1.8664,2
7,1.8736,2
8,1.8304,2
9,1.8358,2
10,1.8119,2
11,1.8637,3
12,1.8456,3
13,1.7986,3
14,1.8643,3
15,1.8602,3
16,1.8451,4
17,1.8329,4
18,1.8589,4
19,1.8064,4
20,1.8571,4
21,1.8139,5
22,1.8059,5
23,1.8097,5
24,1.886,5
25,1.8094,5
26,1.8318,6
27,1.8085,6
28,1.8128,6
29,1.842,6
30,1.8477,6
31,1.8348,7
32,1.8133,7
33,1.8263,7
34,1.8028,7
35,1.8589,7
36,1.7959,8
37,1.8054,8
38,1.8296,8
39,1.8629,8
40,1.7241,8
