Step,Loss,Epoch
1,1.8667,1
2,1.8693,1
3,1.8411,1
4,1.9009,1
5,1.7747,1
6,1.8776,2
7,1.8859,2
8,1.8414,2
9,1.8464,2
10,1.8524,2
11,1.8784,3
12,1.8608,3
13,1.8113,3
14,1.8754,3
15,1.8512,3
16,1.8578,4
17,1.8542,4
18,1.8738,4
19,1.8203,4
20,1.781,4
21,1.8297,5
22,1.811,5
23,1.8162,5
24,1.9074,5
25,1.8363,5
26,1.8388,6
27,1.8351,6
28,1.8299,6
29,1.8478,6
30,1.8644,6
31,1.8573,7
32,1.8156,7
33,1.8426,7
34,1.824,7
35,1.8796,7
36,1.8153,8
37,1.8269,8
38,1.8404,8
39,1.8772,8
40,1.7365,8
