Step,Loss,Epoch
1,1.8977,1
2,1.9077,1
3,1.8738,1
4,1.9326,1
5,1.8628,1
6,1.9098,2
7,1.9175,2
8,1.876,2
9,1.8882,2
10,1.8819,2
11,1.9128,3
12,1.8947,3
13,1.851,3
14,1.9117,3
15,1.8586,3
16,1.8941,4
17,1.8842,4
18,1.9115,4
19,1.8528,4
20,1.8236,4
21,1.8639,5
22,1.8396,5
23,1.8569,5
24,1.9398,5
25,1.8856,5
26,1.8731,6
27,1.8678,6
28,1.8652,6
29,1.8808,6
30,1.914,6
31,1.8884,7
32,1.851,7
33,1.879,7
34,1.8604,7
35,1.9046,7
36,1.8455,8
37,1.8689,8
38,1.8771,8
39,1.9062,8
40,1.77,8
