Step,Loss,Epoch
1,2.3167,1
2,2.3344,1
3,2.2796,1
4,2.3293,1
5,2.1972,1
6,2.3196,2
7,2.3094,2
8,2.278,2
9,2.2759,2
10,2.272,2
11,2.2851,3
12,2.2595,3
13,2.2142,3
14,2.2586,3
15,2.2535,3
16,2.2193,4
17,2.2181,4
18,2.2252,4
19,2.1788,4
20,2.1908,4
21,2.1574,5
22,2.1469,5
23,2.1484,5
24,2.2405,5
25,2.1602,5
26,2.1534,6
27,2.1435,6
28,2.1369,6
29,2.1685,6
30,2.1502,6
31,2.1597,7
32,2.1169,7
33,2.1408,7
34,2.1159,7
35,2.1897,7
36,2.1013,8
37,2.1304,8
38,2.1441,8
39,2.1645,8
40,1.9816,8
